Articulo,Descripcion,"Lista IMP.
U$S DÓLAR","Lista NAC.
$ PESOS",
1043/14104-575,"ARO GILERA FUTURA 4T DIAM.52,50 1.00 YAMASIDA/KIM",0.00,12615.65,
1043/14105-575,"ARO GILERA FUTURA 4T DIAM.52,50 1.25 YAMASIDA/KIM",0.00,12615.65,
1043/14106-575,"ARO GILERA FUTURA 4T DIAM.52,50 1.50 YAMASIDA/KIM",0.00,12615.65,
1043/14107-575,"ARO GILERA FUTURA 4T DIAM.52,50 1.75 YAMASIDA/KIM",0.00,12615.65,
1043/14108-575,"ARO GILERA FUTURA 4T DIAM.52,50 2.00 YAMASIDA/KIM",0.00,12615.65,
1043/15000-022,ARO GILERA 110 13MM/52.4MM STD YAMASIDA,2.07,0.00,
1043/15000-138,ARO GILERA 110 13MM/52.4MM STD .,1.22,0.00,
1043/15000-575,ARO GILERA 110 13MM/52.4MM STD YAMASIDA/KIM,0.00,12615.65,
1043/15001-022,ARO GILERA 110 13MM/52.4MM 0.25 YAMASIDA,2.07,0.00,
1043/15001-138,ARO GILERA 110 13MM/52.4MM 0.25 .,1.22,0.00,
1043/15001-575,ARO GILERA 110 13MM/52.4MM 0.25 YAMASIDA/KIM,0.00,12615.65,
1043/15002-022,ARO GILERA 110 13MM/52.4MM 0.50 YAMASIDA,2.07,0.00,
1043/15002-138,ARO GILERA 110 13MM/52.4MM 0.50 .,1.22,0.00,
1043/15002-575,ARO GILERA 110 13MM/52.4MM 0.50 YAMASIDA/KIM,0.00,12615.65,
1043/15003-022,ARO GILERA 110 13MM/52.4MM 0.75 YAMASIDA,2.07,0.00,
1043/15003-138,ARO GILERA 110 13MM/52.4MM 0.75 .,1.22,0.00,
